OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,East US 3,France Central,France South *,Germany North *,Germany West Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,USGov Arizona **,USGov Texas,USGov Virginia,West Central US,West Europe,West India *,West US,West US 2,West US 3
Virtual Machine Scale Sets,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,A0 - A7,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,,GA,GA,,,,,,GA,GA,GA,GA,,,,,GA,GA,,,,,GA,GA,GA,GA,GA,,,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,
Virtual Machines,Av2-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Azure Dedicated Host,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,,,,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,B-Series,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Virtual Machines,Basv2 Series Virtual Machines,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,GA,,GA,,GA,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,Bpsv2-series,,,GA,,,,,,,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Virtual Machines,Bsv2 Series Virtual Machines,,,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,GA,,GA,,GA,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,D-Series,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,Closing Down,,,Closing Down,,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,,,,,Closing Down,Closing Down,,,,,,,Closing Down,Closing Down,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,
Virtual Machines,Dadsv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dadsv6-series,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dadsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,,GA,,,,,GA,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,Daldsv6-series,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Daldsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,,GA,,,,,GA,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,Dalsv6-series,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dalsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,,GA,,,,,GA,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,DASv4-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dasv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dasv6-series,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dasv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,,GA,,,,,GA,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,DAv4-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,DC-Series,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
Virtual Machines,DCads_cc_v5-series,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,,,,,,,,Preview,Preview,,,,,,,,,Preview,,,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,Preview,,
Virtual Machines,DCadsv5-series,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,GA,,,GA,GA,,,,,,,,,GA,,,,,,,,,GA,,,,GA,,,,GA,,,,,,,GA,,GA,,
Virtual Machines,DCadsv6-series,,,GA,,,,,,GA,GA,,,,,,,,,,,,,,,,GA,GA,GA,,,GA,,,GA,,,,,,,,GA,GA,,,GA,,,,,,,,GA,,,,GA,GA,,GA,,GA,GA,GA,,GA,,GA
Virtual Machines,DCas_cc_v5-series,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,,,,,Preview,,,Preview,Preview,,,,,,,,,Preview,,,,,,,,,Preview,,,,Preview,,,,Preview,,,,,,,Preview,,Preview,,
Virtual Machines,DCasv5-series,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,GA,,,GA,GA,,,,,,,,,GA,,,,,,,,,GA,,,,GA,,,,GA,,,,,,,GA,,GA,,
Virtual Machines,DCasv6-series,,,GA,,,,,,GA,GA,,,,,,,,,,,,,,,,GA,GA,GA,,,GA,,,GA,,,,,,,,GA,GA,,,GA,,,,,,,,GA,,,,GA,GA,,GA,,GA,GA,GA,,GA,,GA
Virtual Machines,DCdsv3-Series,,,GA,,,,,,GA,,GA,GA,,,,,,,,,,GA,GA,,,,,GA,,,GA,GA,GA,,,,,,,,GA,,,,,,,GA,,GA,,,,GA,,,,GA,GA,,,,,,GA,,GA,GA,
Virtual Machines,DCedsv5-series,,,,,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
Virtual Machines,DCesv5-series,,,,,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
Virtual Machines,DCesv6-series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,GA
Virtual Machines,DCsv2-series,,,Closing Down,Closing Down,,,,,Closing Down,Closing Down,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,DCsv3-Series,,,GA,,,,,,GA,,GA,GA,,,,,,,,,,GA,GA,,,,,GA,,,GA,GA,GA,,,,,,,,GA,,,,,,,GA,,GA,,,,GA,,,,GA,GA,,,,,,GA,,GA,GA,
Virtual Machines,Ddsv4-series,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ddsv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ddsv6-series,,,GA,,,GA,GA,,GA,,GA,GA,,,,,,,GA,,,GA,GA,,GA,,,GA,,GA,GA,GA,,GA,,,,,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,GA,,GA,GA,,,,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ddv4-series,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Ddv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dldsv5-Series,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,GA,,,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Dldsv6-series,,,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,,,GA,GA,,GA,,,GA,,GA,GA,GA,,GA,,,,,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,GA,,GA,GA,,,,GA,,GA,,GA,GA,GA
Virtual Machines,Dlsv5-Series,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,GA,,,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Dlsv6-series,,,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,,,GA,GA,,GA,,,GA,,GA,GA,GA,,GA,,,,,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,GA,,GA,GA,,,,GA,,GA,,GA,GA,GA
Virtual Machines,Dpdsv5-series,,,GA,,,,,,,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Virtual Machines,Dpdsv6-series,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,,,GA,GA,GA,,GA,GA,GA
Virtual Machines,Dpldsv5-Series,,,GA,,,,,,,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Virtual Machines,Dpldsv6-series,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,,,GA,GA,GA,,GA,GA,GA
Virtual Machines,Dplsv5-Series,,,GA,,,,,,,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Virtual Machines,Dplsv6-series,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,,,GA,GA,GA,,GA,GA,GA
Virtual Machines,Dpsv5-series,,,GA,,,,,,,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Virtual Machines,Dpsv6-series,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,,,GA,GA,GA,,GA,GA,GA
Virtual Machines,DS-Series,Closing Down,Closing Down,Closing Down,Closing Down,,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,,,Closing Down,,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,,,,,Closing Down,Closing Down,,,,,,,,Closing Down,,,,,Closing Down,Closing Down,Closing Down,,Closing Down,,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,
Virtual Machines,DSv2-Series,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Virtual Machines,DSv3-Series,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dsv4-series,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dsv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dsv6-series,,,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,,,GA,GA,,GA,,,GA,,GA,GA,GA,,GA,,,,,,GA,GA,GA,,GA,,GA,,,,GA,GA,GA,,GA,,GA,,GA,GA,,,,GA,,GA,,GA,GA,GA
Virtual Machines,Dv2-Series,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Virtual Machines,Dv3-Series,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dv4-series,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Dv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Eadsv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Eadsv6-series,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Eadsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,,GA,,,,,GA,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,EASv4-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Easv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Easv6-series,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Easv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,,GA,,,,,GA,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,,GA,,,GA,GA
Virtual Machines,EAv4-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ebdsv5-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ebsv5-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,ECads_cc_v5-series,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,,,,,,,,Preview,Preview,,,,,,,,,Preview,,,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,Preview,,
Virtual Machines,ECadsv5-series,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,GA,,,GA,GA,,,,,,,,,GA,,,,,,,,,GA,,,,GA,,,,GA,,,,,,,GA,,GA,,
Virtual Machines,ECadsv6-series,,,GA,,,,,,GA,GA,,,,,,,,,,,,,,,,GA,GA,GA,,,GA,,,GA,,,,,,,,GA,GA,,,GA,,,,,,,,GA,,,,GA,GA,,GA,,GA,GA,GA,,GA,,GA
Virtual Machines,ECas_cc_v5-series,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,,,,,,,,Preview,Preview,,,,,,,,,Preview,,,,,,,,,,,,,Preview,,,,,,,,,,,Preview,,Preview,,
Virtual Machines,ECasv5-series,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,GA,,,GA,GA,,,,,,,,,GA,,,,,,,,,GA,,,,GA,,,,GA,,,,,,,GA,,GA,,
Virtual Machines,ECasv6-series,,,GA,,,,,,GA,GA,,,,,,,,,,,,,,,,GA,GA,GA,,,GA,,,GA,,,,,,,,GA,GA,,,GA,,,,,,,,GA,,,,GA,GA,,GA,,GA,GA,GA,,GA,,GA
Virtual Machines,ECedsv5-series,,,,,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
